TC_name,Year,Month,Day,Time,Intensity,Lat,Lon,Min Pressure (hPa),Max 10-Min Mean Wind(knot),CI,FT,STRONG_NE_RAD,STRONG_SE_RAD,STRONG_SW_RAD,STRONG_NW_RAD,GALE_NE_RAD,GALE_SE_RAD,GALE_SW_RAD,GALE_NW_RAD,STORM_NE_RAD,STORM_SE_RAD,STORM_SW_RAD,STORM_NW_RAD,HUR_NE_RAD,HUR_SE_RAD,HUR_SW_RAD,HUR_NW_RAD
TD0721,1981,7,21,12,TD,2300,12330,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,21,18,TD,2410,12340,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,22,0,TD,2540,12300,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,22,6,TD,2630,12200,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,22,12,TD,2650,12100,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,22,18,TD,2650,12050,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,23,0,TD,2680,12070,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,23,6,TD,2830,12120,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,23,12,TD,2950,12030,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0721,1981,7,23,18,TD,3050,11840,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,7,31,6,TD,1690,14180,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,7,31,12,TD,1690,14150,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,7,31,18,TD,1710,14120,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,1,0,TD,1750,14110,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,1,6,TD,1820,14120,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,1,12,TD,1870,14130,994,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
