TC_name,Year,Month,Day,Time,Intensity,Lat,Lon,Min Pressure (hPa),Max 10-Min Mean Wind(knot),CI,FT,STRONG_NE_RAD,STRONG_SE_RAD,STRONG_SW_RAD,STRONG_NW_RAD,GALE_NE_RAD,GALE_SE_RAD,GALE_SW_RAD,GALE_NW_RAD,STORM_NE_RAD,STORM_SE_RAD,STORM_SW_RAD,STORM_NW_RAD,HUR_NE_RAD,HUR_SE_RAD,HUR_SW_RAD,HUR_NW_RAD
TD0731,1981,8,1,18,TD,1900,14150,990,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,2,0,TD,1930,14180,990,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,2,6,TD,1970,14220,990,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,2,12,TD,2020,14290,994,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0731,1981,8,2,18,TD,2100,14400,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1110,1981,11,10,0,TD,980,11020,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1110,1981,11,10,6,TD,1000,10960,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1110,1981,11,10,12,TD,1020,10880,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1110,1981,11,10,18,TD,1050,10810,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1110,1981,11,11,0,TD,1080,10760,1006,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,20,18,TD,1710,14030,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,21,0,TD,1760,14010,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,21,6,TD,1820,13980,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,21,12,TD,1890,13930,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,21,18,TD,2020,13830,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0920,1982,9,22,0,TD,2110,13690,1003,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,15,6,TD,1790,13790,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,15,12,TD,1820,13670,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,15,18,TD,1900,13600,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,16,0,TD,1990,13550,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,16,6,TD,2060,13520,1003,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,16,12,TD,2130,13500,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,16,18,TD,2160,13540,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,17,0,TD,2130,13580,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,17,6,TD,2100,13540,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,17,12,TD,2090,13500,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,17,18,TD,2090,13470,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,18,0,TD,2090,13440,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,18,6,TD,2110,13430,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,18,12,TD,2130,13420,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,18,18,TD,2140,13420,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1015,1982,10,19,0,TD,2160,13420,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,25,6,TD,2500,12830,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,25,12,TD,2560,12850,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,25,18,TD,2630,12870,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,26,0,TD,2730,12910,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,26,6,TD,2870,12920,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,26,12,TD,3030,12870,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,26,18,TD,3180,12790,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,27,0,TD,3340,12730,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,27,6,TD,3490,12700,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,27,12,TD,3580,12700,999,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0825,1983,8,27,18,TD,3650,12700,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,1,12,TD,1480,11400,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,1,18,TD,1500,11270,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,2,0,TD,1550,11150,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,2,6,TD,1600,11060,999,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,2,12,TD,1650,10990,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,2,18,TD,1690,10930,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,3,0,TD,1760,10850,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,3,6,TD,1850,10750,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1001,1983,10,3,12,TD,1920,10670,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,21,0,TD,810,14700,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,21,6,TD,840,14640,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,21,12,TD,880,14580,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,21,18,TD,920,14520,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,22,0,TD,960,14430,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,22,6,TD,940,14320,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,22,12,TD,910,14210,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,22,18,TD,910,14130,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,23,0,TD,900,14040,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,23,6,TD,890,14000,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,23,12,TD,880,13950,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,23,18,TD,860,13900,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1121,1983,11,24,0,TD,840,13840,1005,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,11,6,TD,1720,12970,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,11,12,TD,1780,12880,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,11,18,TD,1850,12810,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,12,0,TD,1940,12730,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,12,6,TD,2020,12640,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,12,12,TD,2100,12540,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,12,18,TD,2180,12420,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,13,0,TD,2250,12290,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(1),1984,8,13,6,TD,2280,12210,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,13,6,TD,2130,12170,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,13,12,TD,2130,12150,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,13,18,TD,2130,12140,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,14,0,TD,2130,12110,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,14,6,TD,2130,12070,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,14,12,TD,2170,12020,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,14,18,TD,2220,11980,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0811(2),1984,8,15,0,TD,2280,11960,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,24,0,TD,1990,13840,999,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,24,6,TD,2090,13730,995,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,24,12,TD,2190,13590,995,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,24,18,TD,2300,13420,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,25,0,TD,2410,13250,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0824,1984,8,25,6,TD,2510,13060,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,24,0,TD,1860,11600,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,24,6,TD,1870,11540,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,24,12,TD,1880,11490,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,24,18,TD,1880,11460,999,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,25,0,TD,1890,11430,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,25,6,TD,1890,11410,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,25,12,TD,1890,11380,999,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,25,18,TD,1900,11350,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LYNN,1984,9,26,0,TD,1900,11330,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FABIAN(2),1985,1,13,6,TD,1050,13120,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FABIAN(2),1985,1,13,12,TD,1060,13140,999,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FABIAN(2),1985,1,13,18,TD,1080,13160,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,22,6,TD,1760,13110,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,22,12,TD,1780,13230,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,22,18,TD,1810,13380,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,23,0,TD,1840,13530,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,23,6,TD,1890,13670,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,23,12,TD,1940,13800,998,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,23,18,TD,2000,13930,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0422,1985,4,24,0,TD,2070,14080,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,17,6,TD,1650,11240,992,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,17,12,TD,1640,11190,990,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,17,18,TD,1640,11140,992,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,18,0,TD,1640,11100,992,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,18,6,TD,1640,11070,992,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,18,12,TD,1650,11040,992,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,18,18,TD,1670,11050,992,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,19,0,TD,1700,11080,990,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,19,6,TD,1760,11080,990,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,19,12,TD,1820,11050,992,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,19,18,TD,1860,11000,994,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,20,0,TD,1900,10950,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0617,1985,6,20,6,TD,1950,10920,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,4,0,TD,1020,13110,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,4,6,TD,1090,12920,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,4,12,TD,1160,12760,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,4,18,TD,1230,12580,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,5,0,TD,1270,12400,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,5,6,TD,1320,12270,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,5,12,TD,1380,12180,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,5,18,TD,1470,12130,1000,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,6,0,TD,1590,12050,1000,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,6,6,TD,1670,11930,1000,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,6,12,TD,1680,11810,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,6,18,TD,1700,11720,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,7,0,TD,1730,11650,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,7,6,TD,1760,11590,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,7,12,TD,1820,11550,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,7,18,TD,1890,11540,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,8,0,TD,1950,11550,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,8,6,TD,2070,11580,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0704,1985,7,8,12,TD,2210,11600,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,23,0,TD,890,11290,1002,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,23,6,TD,920,11290,1001,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,23,12,TD,950,11270,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,23,18,TD,1000,11230,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,24,0,TD,1050,11250,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,24,6,TD,1100,11250,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,24,12,TD,1130,11180,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,24,18,TD,1160,11110,1000,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,25,0,TD,1180,11030,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,25,6,TD,1150,10960,1003,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GORDON,1985,11,25,12,TD,1080,10900,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,9,12,TD,1740,11330,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,9,18,TD,1770,11260,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,10,0,TD,1790,11190,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,10,6,TD,1830,11130,997,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,10,12,TD,1880,11100,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,10,18,TD,1930,11040,996,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,11,0,TD,1920,10950,995,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,11,6,TD,1910,10830,994,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,11,12,TD,1960,10760,994,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,11,18,TD,2040,10700,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0809,1986,8,12,0,TD,2200,10650,997,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,2,0,TD,3000,14000,992,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,2,6,TD,3090,13930,992,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,2,12,TD,3210,13860,992,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,2,18,TD,3370,13830,993,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,3,0,TD,3510,13900,996,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,3,6,TD,3610,13990,997,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,3,12,TD,3800,14100,998,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0902,1986,9,3,18,TD,4040,14230,998,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1124,1986,11,24,0,TD,810,11030,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1124,1986,11,24,6,TD,830,11000,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1124,1986,11,24,12,TD,860,10980,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1124,1986,11,24,18,TD,900,10980,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD1124,1986,11,25,0,TD,930,11000,1002,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,10,0,TD,2680,14410,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,10,6,TD,2830,14330,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,10,12,TD,2970,14260,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,10,18,TD,3120,14180,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,11,0,TD,3260,14110,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,11,6,TD,3350,14080,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,11,12,TD,3450,14070,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,11,18,TD,3530,14110,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,12,0,TD,3620,14200,1006,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,12,6,TD,3690,14310,1006,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,12,12,TD,3730,14460,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TD0810,1987,8,12,18,TD,3750,14600,1008,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,21,12,TD,910,16280,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,21,18,TD,960,16160,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,22,0,TD,1000,16050,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,22,6,TD,1040,15960,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,22,12,TD,1080,15880,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,22,18,TD,1140,15760,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(1),1987,8,23,0,TD,1220,15650,1004,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(2),1987,8,24,12,TD,1370,15440,1006,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ED(2),1987,8,24,18,TD,1410,15390,1006,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
